"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","xera","fb_velocity","fb_spin","curve_spin"
"José Alvarado","621237","2024",89,84,87,86,82,86,89,46,29,27,65,45,44,96,,85,96,18,
"Luis Severino","622663","2024",56,64,66,68,43,34,82,82,27,51,37,25,28,55,,53,83,29,
"Brady Singer","663903","2024",41,37,34,37,52,9,36,32,61,34,72,61,44,29,,41,21,54,
"Mitch White","669952","2024",2,6,2,3,2,34,25,29,2,29,2,12,2,59,,2,49,51,58
"Andrew Heaney","571760","2024",46,58,30,16,70,12,31,8,19,16,53,79,60,70,,45,12,84,
"Ross Stripling","548389","2024",38,7,37,77,32,34,89,67,27,81,7,81,10,73,,37,12,18,
"Cooper Criswell","681867","2024",68,64,58,55,77,29,41,48,33,48,60,80,24,70,,66,2,11,
"Kody Funderburk","681892","2024",20,24,44,61,12,50,46,50,21,32,42,29,55,7,,20,34,56,
"Génesis Cabrera","650893","2024",26,16,42,66,8,75,79,10,33,4,6,9,18,46,,26,77,68,
"Logan Allen","663531","2024",65,30,66,84,64,86,93,75,67,54,12,94,16,6,,65,9,1,
"Austin Voth","608723","2024",57,44,46,52,68,62,53,66,54,92,31,91,63,94,,56,42,51,
"Bryce Elder","693821","2024",6,5,13,27,5,29,20,19,54,4,16,34,22,43,,6,4,8,
"Andrew Abbott","671096","2024",89,85,80,67,89,16,66,67,39,87,28,72,12,12,,86,32,45,84
"Tarik Skubal","669373","2024",97,92,88,73,99,25,62,89,57,89,92,93,87,94,,97,89,31,
"Justin Verlander","434378","2024",50,68,41,23,61,16,10,54,1,92,27,29,21,31,,50,46,86,71
"Brent Suter","608718","2024",36,26,27,33,48,41,46,89,20,92,41,61,24,45,,35,1,33,
"Anthony Bender","669622","2024",7,4,12,29,7,41,18,62,4,31,70,61,49,58,,8,74,48,
"Ryan Weathers","677960","2024",39,51,40,33,38,6,38,18,43,42,31,54,50,21,,38,80,67,
"Logan Allen","671106","2024",31,27,23,26,46,6,32,11,10,15,33,63,31,19,,31,10,19,
"DL Hall","669084","2024",1,3,3,10,1,50,36,50,20,37,11,16,24,37,,1,23,13,45
"Zack Thompson","668868","2024",23,32,23,21,29,34,5,46,5,37,63,35,39,86,,24,8,1,65
"Emmanuel Clase","661403","2024",95,71,88,94,94,75,80,54,51,74,74,97,71,98,,94,,,
"Peter Lambert","663567","2024",37,31,46,58,28,50,72,75,47,70,19,32,59,38,,37,55,44,
"Nick Martinez","607259","2024",72,27,64,82,75,62,93,92,21,96,21,96,43,98,,72,20,75,57
"Jared Koenig","657649","2024",88,73,83,85,80,75,82,16,17,68,5,84,1,31,,88,50,63,43
"Hunter Harvey","640451","2024",78,53,83,93,68,98,98,34,70,7,84,71,68,92,,78,96,9,
"Cole Ragans","666142","2024",65,44,67,77,59,25,69,62,51,74,78,56,85,72,,65,85,96,40
"Sean Manaea","640455","2024",38,38,45,53,30,21,49,37,34,44,41,24,43,35,,37,23,8,
"Dean Kremer","665152","2024",14,32,7,4,40,1,5,56,7,45,59,43,39,32,,15,34,46,76
"Dylan Lee","669276","2024",88,66,77,78,75,62,64,64,32,77,46,53,84,97,,87,15,49,
"Dane Dunning","641540","2024",12,36,7,4,20,6,2,2,34,6,81,20,84,46,,11,5,23,
"José Suarez","660761","2024",25,51,48,48,14,34,23,89,72,52,55,7,81,37,,25,28,64,
"Jesús Luzardo","666200","2024",39,49,29,19,57,9,5,12,3,20,76,40,86,49,,40,80,39,
"Chris Bassitt","605135","2024",19,16,28,46,14,9,28,48,34,36,42,23,14,12,,19,28,20,20
"Triston McKenzie","663474","2024",23,53,28,15,24,9,18,30,33,56,37,8,29,11,,24,10,44,14
"Jake Irvin","663623","2024",31,16,19,23,54,9,41,8,4,18,24,90,23,31,,30,52,73,49
"Keaton Winn","676775","2024",12,12,10,11,19,12,23,1,14,2,25,46,31,88,,13,74,60,
"Buck Farmer","571656","2024",57,67,58,53,62,50,49,81,82,63,36,75,52,82,,56,21,79,
"Reid Detmers","672282","2024",63,66,55,50,70,2,15,42,38,58,68,51,76,72,,62,52,25,44
"Wandy Peralta","593974","2024",19,27,26,29,30,41,21,19,65,12,10,76,13,46,,19,70,31,
"Tim Hill","657612","2024",68,45,89,97,34,94,96,87,63,67,3,30,1,24,,68,3,24,
"Pedro Avila","658648","2024",5,3,12,27,4,62,61,16,27,47,65,34,64,79,,4,46,61,76
"Easton Lucas","687922","2024",,,,,,,,,96,,,,,,,,54,42,
"Dedniel Núñez","673380","2024",,,,,,,,,59,,,,,,,,83,93,
"Tyler Ferguson","621053","2024",,,,,,,,,59,,,,,,,,68,57,
"Sam Moll","594580","2024",,,,,,,,,88,,,,,,,,23,91,
"Kyle Nicolas","693312","2024",,,,,,,,,39,,,,,,,,97,87,
"José Ruiz","614179","2024",,,,,,,,,73,,,,,,,,85,43,
"Eduard Bazardo","660825","2024",,,,,,,,,68,,,,,,,,41,15,
"Paul Skenes","694973","2024",,,,,,,,,66,,,,,,,,100,70,
"Jacob Lopez","682052","2024",,,,,,,,,94,,,,,,,,7,25,
"Chris Roycroft","688297","2024",,,,,,,,,51,,,,,,,,90,30,
"Josh Walker","677020","2024",,,,,,,,,95,,,,,,,,41,35,
"Chad Green","643338","2024",,,,,,,,,67,,,,,,,,72,95,
"Luis Frías","666818","2024",,,,,,,,,73,,,,,,,,83,38,
"Chase Silseth","681217","2024",,,,,,,,,64,,,,,,,,44,87,
"Tylor Megill","656731","2024",,,,,,,,,85,,,,,,,,82,35,
"Gus Varland","681402","2024",,,,,,,,,89,,,,,,,,63,61,
"Nick Burdi","595897","2024",,,,,,,,,54,,,,,,,,95,83,
"Kent Emanuel","592288","2024",,,,,,,,,6,,,,,,,,3,6,
"Janson Junk","676083","2024",,,,,,,,,59,,,,,,,,50,69,
"Richard Lovelady","663992","2024",,,,,,,,,66,,,,,,,,21,33,
"Tyler Duffey","608648","2024",,,,,,,,,85,,,,,,,,11,77,52
"Pete Fairbanks","664126","2024",,,,,,,,,65,,,,,,,,93,75,
"Eli Morgan","669212","2024",,,,,,,,,92,,,,,,,,21,59,
"Jeremiah Estrada","669093","2024",,,,,,,,,89,,,,,,,,90,29,
"Grant Anderson","681982","2024",,,,,,,,,89,,,,,,,,23,56,
"J.P. Feyereisen","656420","2024",,,,,,,,,13,,,,,,,,16,88,
"Shane Bieber","669456","2024",,,,,,,,,30,,,,,,,,20,67,
"Randy Rodríguez","678495","2024",,,,,,,,,93,,,,,,,,96,99,
"Nick Nastrini","680897","2024",,,,,,,,,69,,,,,,,,37,82,
"Spencer Strider","675911","2024",,,,,,,,,67,,,,,,,,86,53,
"Sean Reid-Foley","656887","2024",,,,,,,,,73,,,,,,,,72,41,
"Aroldis Chapman","547973","2024",64,99,94,68,26,86,46,42,77,76,99,1,97,3,,63,94,62,
"Bobby Miller","676272","2024",,,,,,,,,82,,,,,,,,97,73,
"Hogan Harris","663687","2024",,,,,,,,,79,,,,,,,,52,64,
"Ray Kerr","678061","2024",,,,,,,,,59,,,,,,,,68,65,1
"Mason Miller","695243","2024",100,100,100,99,100,98,98,98,95,100,100,68,100,100,,100,100,96,
"Carson Spiers","686730","2024",,,,,,,,,84,,,,,,,,25,53,
"Joey Estes","683155","2024",,,,,,,,,45,,,,,,,,25,88,
"Braxton Garrett","666129","2024",,,,,,,,,70,,,,,,,,4,12,
"Jorge Alcala","660896","2024",,,,,,,,,90,,,,,,,,88,86,
"Jonathan Hernández","642546","2024",,,,,,,,,37,,,,,,,,93,42,
"Giovanny Gallegos","606149","2024",,,,,,,,,80,,,,,,,,21,62,
"Wes Parsons","641149","2024",,,,,,,,,70,,,,,,,,58,72,
"Cionel Pérez","672335","2024",,,,,,,,,16,,,,,,,,82,18,
"Brock Stewart","592779","2024",,,,,,,,,23,,,,,,,,94,98,
"Justin Wilson","458677","2024",,,,,,,,,76,,,,,,,,65,45,
"Zach Pop","647315","2024",,,,,,,,,37,,,,,,,,86,59,
"Drew Smith","622098","2024",,,,,,,,,61,,,,,,,,63,95,
"Ron Marinaccio","676760","2024",,,,,,,,,84,,,,,,,,32,30,
"Colin Holderman","670059","2024",,,,,,,,,92,,,,,,,,90,51,
"Jacob Waguespack","621097","2024",,,,,,,,,87,,,,,,,,42,24,
"Josiah Gray","680686","2024",,,,,,,,,64,,,,,,,,29,14,
"Justin Martinez","679885","2024",,,,,,,,,85,,,,,,,,100,35,
"Daniel Palencia","694037","2024",,,,,,,,,63,,,,,,,,96,36,
"Xzavion Curry","675540","2024",,,,,,,,,34,,,,,,,,26,20,
"Nick Ramirez","598286","2024",,,,,,,,,54,,,,,,,,1,10,
"Manuel Rodríguez","655889","2024",,,,,,,,,80,,,,,,,,84,46,
"Keegan Thompson","624522","2024",,,,,,,,,1,,,,,,,,46,94,
"Gabe Speier","642100","2024",81,95,98,96,34,86,66,93,45,93,92,4,84,68,,89,37,22,
"Jake Diekman","518617","2024",78,98,99,99,19,98,98,99,96,97,94,1,96,13,,73,52,46,
"Colten Brewer","605155","2024",,,,,,,,,19,,,,,,,,50,42,87
"Zack Kelly","677161","2024",,,,,,,,,66,,,,,,,,85,25,
"Kyle Leahy","681517","2024",,,,,,,,,85,,,,,,,,72,43,
"Luke Little","681432","2024",,,,,,,,,61,,,,,,,,85,48,
"Miguel Castro","612434","2024",,,,,,,,,38,,,,,,,,72,38,
"Darius Vines","670241","2024",,,,,,,,,70,,,,,,,,8,46,
"Ryan Brasier","518489","2024",,,,,,,,,75,,,,,,,,55,44,
"Luke Jackson","592426","2024",,,,,,,,,69,,,,,,,,63,48,
"Colin Poche","621363","2024",,,,,,,,,57,,,,,,,,9,44,
"Ryder Ryan","656924","2024",,,,,,,,,75,,,,,,,,57,70,
"George Soriano","666277","2024",,,,,,,,,17,,,,,,,,58,12,
"Evan Phillips","623465","2024",,,,,,,,,96,,,,,,,,85,77,
"Caleb Thielbar","573204","2024",,,,,,,,,73,,,,,,,,35,48,35
"Craig Kimbrel","518886","2024",60,85,76,57,44,62,8,20,78,2,98,14,89,2,,59,52,75,60
"Trevor Megill","656730","2024",,,,,,,,,84,,,,,,,,98,92,73
"Pierce Johnson","572955","2024",,,,,,,,,72,,,,,,,94,,,93
"Kyle Bradish","680694","2024",94,97,98,95,80,94,94,94,90,99,80,32,47,12,,93,68,50,
"Jose Cuas","621016","2024",,,,,,,,,61,,,,,,,,21,88,
"Tyler Matzek","554431","2024",,,,,,,,,73,,,,,,,,42,83,
"Jordan Romano","605447","2024",,,,,,,,,81,,,,,,,,88,49,
"Dillon Tate","622253","2024",,,,,,,,,19,,,,,,,,15,3,
"Nick Avila","687014","2024",,,,,,,,,49,,,,,,,,55,38,
"Joe Kelly","523260","2024",,,,,,,,,43,,,,,,,,97,27,
"John King","667463","2024",,,,,,,,,80,,,,,,,,34,28,
"Orion Kerkering","689147","2024",,,,,,,,,90,,,,,,,,95,75,
"Tayler Saucedo","642048","2024",,,,,,,,,85,,,,,,,,13,69,
"Nick Robertson","687798","2024",,,,,,,,,47,,,,,,,,57,16,
"Lucas Sims","608371","2024",14,64,9,2,25,50,3,30,39,67,73,6,50,33,,15,46,98,
"Yency Almonte","622075","2024",79,89,92,85,55,75,42,97,72,84,86,16,84,56,,80,46,25,
"Drew Smyly","592767","2024",,,,,,,,,22,,,,,,,,34,16,8
"Robert Garcia","676395","2024",88,82,94,95,66,86,76,79,59,86,89,23,44,54,,87,50,32,
"Bryan Woo","693433","2024",,,,,,,,,88,,,,,,,,63,45,
"Tyler Beede","595881","2024",28,56,74,80,7,86,76,42,47,16,73,12,80,62,,28,36,1,8
"Fernando Cruz","518585","2024",84,86,93,90,59,94,94,23,67,16,100,9,100,89,,81,63,62,
"Joely Rodríguez","570257","2024",,,,,,,,,49,,,,,,,,3,1,
"Austin Adams","613534","2024",75,90,97,97,39,86,76,99,84,99,87,30,96,36,,74,50,100,
"Yimi García","554340","2024",99,99,97,70,99,75,44,30,26,61,97,42,71,99,,99,88,94,87
"Andre Pallante","669467","2024",,,,,,,,,79,,,,,,,,70,41,
"Kirby Yates","489446","2024",98,97,99,99,89,98,98,52,86,81,93,18,94,76,,98,35,78,
"Garrett Cleavinger","664076","2024",81,92,98,98,40,94,94,100,82,98,98,7,89,65,,85,80,81,
"Tom Cosgrove","676680","2024",,,,,,,,,90,,,,,,,,6,72,
"Anthony Maldonado","687424","2024",,,,,,,,,39,,,,,,,,31,84,
"Mike Clevinger","605182","2024",,,,,,,,,8,,,,,,,,37,76,
"Kai-Wei Teng","678906","2024",,,,,,,,,59,,,,,,,,31,62,
"Roddery Muñoz","682610","2024",1,14,1,1,18,25,1,16,33,8,83,24,65,54,,1,70,47,
"Adam Ottavino","493603","2024",96,98,88,56,97,62,18,99,39,90,98,50,62,63,,95,23,57,
"John Brebbia","605154","2024",16,17,9,7,35,62,18,60,43,41,82,85,69,94,,16,46,69,
"Jack Leiter","683004","2024",,,,,,,,,45,,,,,,,,80,68,
"Walker Buehler","621111","2024",,,,,,,,,39,,,,,,,,74,51,
"Kenley Jansen","445276","2024",42,69,74,72,25,50,6,15,73,15,84,8,71,2,,45,,,
"Matt Strahm","621381","2024",94,71,74,72,96,62,18,64,37,27,99,98,50,80,,95,34,92,
"Abner Uribe","682842","2024",28,27,67,85,2,75,51,85,12,8,42,2,57,2,,28,99,65,
"Andrew Chafin","605177","2024",59,72,59,48,59,62,21,75,78,93,60,20,71,98,,58,16,31,
"Blake Snell","605483","2024",,,,,,,,,28,,,,,,,,74,90,
"Matt Bowman","621199","2024",,,,,,,,,27,,,,,,,,23,19,
"Shawn Dubin","681869","2024",71,69,93,96,40,98,98,70,21,32,41,19,88,10,,71,63,75,
"Deivi García","665620","2024",31,60,44,33,16,75,56,34,55,69,47,3,90,16,,31,70,52,
"Lucas Erceg","668674","2024",70,85,66,46,59,62,25,89,68,81,94,26,94,80,,64,99,11,
"Edwin Díaz","621242","2024",85,94,76,37,88,62,25,95,61,81,97,39,98,84,,85,92,71,
"Danny Coulombe","543056","2024",89,73,71,63,95,86,80,19,80,2,80,95,39,77,,89,9,81,
"Yunior Marte","628708","2024",,,,,,,,,49,,,,,,,,80,73,
"Landen Roupp","694738","2024",4,7,13,21,3,50,8,32,39,54,29,14,77,27,,4,57,14,92
"Dany Jiménez","666204","2024",32,94,67,25,19,50,8,94,45,99,15,1,60,5,,32,23,28,
"José Cisnero","542585","2024",5,12,6,6,11,62,25,81,68,39,63,24,44,26,,5,74,73,
"Steven Okert","595345","2024",36,42,37,35,21,75,56,84,47,88,60,16,44,4,,35,31,42,
"Gregory Soto","642397","2024",20,45,31,27,12,50,8,3,35,2,50,11,82,59,,21,95,51,
"Erik Swanson","657024","2024",,,,,,,,,26,,,,,,,,42,57,
"Jacob Barnes","606930","2024",,,,,,,,,75,,,,,,,,68,93,
"Bowden Francis","670102","2024",5,11,4,5,11,34,1,46,23,11,67,27,41,8,,4,42,80,24
"Cam Booser","592155","2024",95,91,76,48,98,62,28,66,88,59,87,88,91,99,,95,77,12,
"Mason Black","696131","2024",,,,,,,,,29,,,,,,,,14,17,
"Ricardo Pinto","620982","2024",,,,,,,,,55,,,,,,,,26,4,
"Josh Hader","623352","2024",93,94,91,76,88,75,61,56,55,63,99,28,97,79,,91,83,46,
"Tyson Miller","668338","2024",74,74,44,23,91,50,10,50,31,63,74,98,73,93,,,5,39,
"Cole Winn","668390","2024",,,,,,,,,18,,,,,,,,77,83,
"Taj Bradley","671737","2024",10,36,2,1,66,25,1,1,2,1,94,90,90,65,,10,84,56,
"Nate Pearson","663878","2024",31,55,62,66,26,75,61,34,59,14,67,20,54,21,,31,95,29,
"Enyel De Los Santos","660853","2024",77,94,39,5,94,41,3,32,70,2,91,68,91,33,,77,70,37,
"Griffin Jax","643377","2024",98,96,97,94,96,86,83,67,54,98,98,41,94,78,,97,92,90,
"Aaron Brooks","605156","2024",,,,,,,,,14,,,,,,,,15,2,
"Alex Vesia","681911","2024",93,100,92,33,83,41,3,70,81,63,88,6,91,56,,92,37,78,
"Dominic Leone","608678","2024",12,35,15,7,9,62,29,79,57,86,44,4,99,73,,13,61,60,
"Victor González","624647","2024",,,,,,,,,24,,,,,,,,37,40,
"Alex Lange","656638","2024",36,63,89,96,4,94,95,7,35,6,65,1,93,45,,35,86,47,18
"Camilo Doval","666808","2024",80,92,95,94,50,75,62,66,1,28,87,4,98,76,,85,97,68,
"Taylor Rogers","573124","2024",34,47,37,32,34,41,4,95,33,96,81,37,84,50,,34,36,17,
"Caleb Ferguson","657571","2024",17,31,17,10,21,41,4,42,63,41,81,24,62,63,,11,46,51,
"Matt Barnes","598264","2024",9,6,5,11,22,62,31,11,1,28,16,71,24,40,,10,13,23,1
"José Leclerc","600917","2024",11,55,37,27,2,75,66,37,11,60,77,2,96,4,,11,68,97,
"Michael Kopech","656629","2024",72,98,90,65,53,62,33,34,47,60,95,7,82,44,,64,99,99,
"Shelby Miller","571946","2024",38,76,60,48,49,62,33,10,65,7,46,43,64,45,,38,32,82,
"Erik Miller","669062","2024",60,92,80,55,42,50,11,3,21,7,91,4,94,3,,59,88,50,
"Andrés Muñoz","662253","2024",92,95,85,57,87,62,33,67,69,24,96,35,99,82,,91,97,11,
"Carlos Estévez","608032","2024",78,63,42,29,85,50,11,2,57,24,71,88,60,19,,84,85,22,
"Jonathan Cannon","686563","2024",12,4,6,15,21,50,11,1,29,7,39,75,19,74,,12,36,12,
"Cade Smith","671922","2024",94,89,95,95,83,86,84,1,61,16,97,50,73,15,,93,74,45,
"Yohan Ramírez","670990","2024",29,19,42,61,16,62,36,54,18,53,55,50,81,27,,52,58,48,
"Cole Sands","663485","2024",30,38,23,16,43,50,13,10,57,40,90,83,56,86,,29,65,56,82
"Chris Martin","455119","2024",72,41,61,73,74,86,84,80,32,53,86,97,76,96,,65,65,29,
"Adam Cimber","643256","2024",45,60,79,82,18,62,36,67,30,78,51,37,3,7,,44,1,59,
"Reed Garrett","657585","2024",99,99,100,99,95,98,98,93,66,91,99,21,99,91,,99,82,68,
"Alek Manoah","666201","2024",57,78,60,47,57,62,36,54,84,65,69,53,59,57,,56,46,68,
"Max Meyer","676974","2024",51,60,25,12,79,41,6,56,16,16,45,87,97,33,,51,55,82,
"Cody Bolton","675989","2024",49,58,46,40,54,62,36,54,14,53,32,26,37,60,,48,63,53,
"Brennan Bernardino","657514","2024",79,89,90,84,57,75,67,92,47,98,65,17,16,1,,80,9,26,64
"Yariel Rodríguez","684320","2024",8,7,18,32,5,75,67,13,57,16,49,20,44,46,,8,52,90,
"Andrew Kittredge","552640","2024",68,45,69,78,68,86,85,62,33,71,78,68,83,99,,69,58,69,
"Tim Herrin","682120","2024",54,62,63,62,44,62,39,16,35,21,76,27,79,92,,53,65,80,25
"Jeff Hoffman","656546","2024",95,90,92,85,90,86,85,15,28,21,95,48,95,88,,97,86,99,
"Alexis Díaz","664747","2024",48,85,87,82,12,86,85,70,87,43,46,3,44,20,,50,46,100,
"Steven Wilson","621051","2024",32,81,49,25,17,50,14,95,41,98,54,3,65,9,,32,36,85,
"Kyle Finnegan","640448","2024",20,27,19,13,20,62,39,62,4,43,54,16,47,43,,21,92,18,
"Tim Mayza","641835","2024",4,15,2,3,13,34,2,27,20,36,25,19,5,1,,4,18,11,
"Aaron Bummer","607481","2024",70,20,83,98,36,98,98,29,21,36,65,50,16,21,,64,41,40,
"Calvin Faucher","676534","2024",26,15,40,62,13,50,15,11,43,48,59,25,50,10,,26,77,54,91
"Christian Scott","681035","2024",76,58,74,80,75,86,86,46,30,75,60,80,73,73,,75,61,55,
"Joel Payamps","606303","2024",45,41,28,23,64,41,6,62,1,48,53,79,52,42,,31,57,79,
"Adrian Morejon","670970","2024",91,76,89,93,88,86,86,98,38,97,96,83,90,91,,84,93,92,
"Yerry Rodríguez","666720","2024",1,11,2,1,3,41,6,25,55,10,9,12,40,7,,1,86,91,
"Phil Maton","664208","2024",6,27,11,5,5,50,15,67,28,48,33,17,80,49,,6,,,97
"Robert Suarez","663158","2024",93,93,72,33,98,50,15,34,63,36,69,80,56,74,,92,98,89,
"A.J. Minter","621345","2024",75,88,37,9,91,50,15,50,39,75,81,71,85,83,,75,65,87,
"Mark Leiter Jr.","643410","2024",87,81,86,84,81,50,15,79,60,48,92,46,94,91,,80,12,3,
"Erasmo Ramírez","541640","2024",45,81,33,10,68,34,2,75,68,90,6,39,11,8,,56,10,37,
"Emilio Pagán","641941","2024",56,64,45,32,69,62,43,5,73,1,88,46,88,85,,55,55,96,
"Trevor Richards","670950","2024",83,96,81,44,87,50,18,88,70,78,85,24,52,66,,83,18,53,
"Tobias Myers","668964","2024",23,60,17,4,44,41,7,48,3,67,64,18,18,92,,16,32,34,
"Joe Jiménez","641729","2024",99,98,99,98,96,98,98,95,49,95,62,37,77,67,,99,54,83,
"Jordan Weems","607179","2024",62,56,84,93,29,86,88,6,22,20,28,10,28,30,,61,80,14,
"Will Smith","519293","2024",8,3,5,15,7,62,43,34,26,78,6,39,36,29,,9,10,34,
"Roansy Contreras","672710","2024",42,38,33,32,35,50,18,12,61,20,45,23,29,14,,43,58,71,
"Ryan Fernandez","681676","2024",60,42,65,75,46,75,69,73,49,90,85,46,87,44,,59,63,18,
"Héctor Neris","593576","2024",17,45,32,29,4,50,18,88,55,55,28,2,33,59,,13,28,80,
"Sean Hjelle","663546","2024",85,58,65,68,91,75,69,40,51,20,65,98,26,86,,84,61,46,3
"Jacob Webb","657097","2024",49,76,57,43,43,41,7,54,44,67,70,11,73,1,,48,32,88,
"Garrett Whitlock","676477","2024",39,38,46,53,35,75,69,34,91,67,51,37,5,62,,40,40,7,
"Andrew Nardi","677053","2024",68,62,74,77,63,75,71,60,66,46,83,48,66,95,,69,52,62,
"David Robertson","502085","2024",85,80,90,91,63,86,88,94,51,87,95,35,73,27,,84,,,66
"Daniel Hudson","543339","2024",88,81,45,16,98,50,21,3,24,1,86,98,88,46,,87,77,89,
"Tyler Wells","669330","2024",1,2,1,1,27,41,8,27,26,15,32,88,59,94,,1,26,81,
"Angel Zerpa","672582","2024",45,49,22,12,78,50,21,8,34,5,74,91,1,2,,38,68,9,
"Edward Cabrera","665795","2024",37,78,49,27,31,41,8,88,63,71,93,7,88,84,,37,82,66,48
"Keegan Akin","669211","2024",98,96,95,87,97,75,71,88,57,71,79,58,51,6,,98,41,85,
"Seranthony Domínguez","622554","2024",41,42,40,40,49,50,21,78,76,81,45,35,33,21,,41,94,74,
"Chris Devenski","606965","2024",13,34,3,2,45,62,45,46,35,46,13,42,62,20,,14,28,70,
"Greg Weissert","669711","2024",97,84,93,93,95,94,95,73,43,63,84,82,20,85,,96,49,30,
"Tanner Rainey","663432","2024",1,2,1,1,1,21,1,12,79,7,4,3,67,33,,1,41,79,
"Scott McGough","543518","2024",16,22,16,13,12,50,23,10,47,51,7,8,67,16,,16,36,79,
"Ryne Stanek","592773","2024",51,64,51,43,55,62,46,37,54,63,36,53,35,81,,44,98,72,
"John Means","607644","2024",21,13,5,6,71,62,46,7,41,1,47,100,73,65,,22,9,84,
"Tanner Scott","656945","2024",72,97,96,88,27,86,89,100,79,89,54,1,78,44,,72,89,98,
"Cody Bradford","674003","2024",94,89,76,54,98,62,46,80,45,76,60,96,63,93,,94,6,21,
"Matt Moore","519043","2024",57,82,51,26,67,50,23,67,41,76,52,29,53,56,,45,35,58,19
"Nick Sandlin","680704","2024",91,96,92,73,83,62,51,30,13,32,86,56,98,62,,90,25,65,
"Ryan Pressly","519151","2024",60,47,49,51,69,50,27,8,4,9,85,65,82,73,,58,44,96,99
"Marco Gonzales","594835","2024",17,9,15,23,26,62,51,32,24,14,12,63,7,90,,17,6,15,